Kanji,Onyomi,Kunyomi,Meaning
党,touトウ,"nakama, muraなかま、 むら","party, faction, clique"
協,kyouキョウ,,"co-, cooperation"
総,souソウ,"sube(te), fusaすべ(て)、 ふさ","general, whole, all"
区,kuク,,"ward, district"
領,ryouリョウ,eriえり,"jurisdiction, dominion"
県,kenケン,ka(keru)か(ける),prefecture
設,setsuセツ,mou(keru)もう(ける),"establishment, provision"
保,"ho, houホ、ホウ",tamo(tsu)たも(つ),"protect, guarantee, keep"
改,kaiカイ,arata(meru)あらた(める),"reformation, change, modify"
第,daiダイ,,"No., number"
結,ketsuケツ,"musu(bu), yu(u)むす(ぶ)、ゆ(う)","tie, bind, contract"
派,haハ,,"faction, group, party"
府,fuフ,,"borough, urban prefecture, govt office"
査,saサ,,investigate
委,iイ,yuda(neru)ゆだ(ねる),"committee, entrust to"
軍,gunグン,ikusaいくさ,"army, force, troops"
案,anアン,tsukueつくえ,"plan, suggestion, draft"
策,sakuサク,,"scheme, plan, policy"
団,"dan, tonダン、トン","katamari, maru(i)かたまり、 まる(い)","group, association"
各,kakuカク,onoonoおのおの,each; every; either
島,touトウ,shimaしま,island
革,kakuカク,kawaかわ,leather; skin; reform; become serious
村,sonソン,muraむら,village; town
勢,seiセイ,ikio(i)いきお(い),forces; energy; military strength
減,genゲン,he(ru)へ(る),dwindle; decrease; reduce
再,"sai, saサイ、 サ",futata(bi)ふたた(び),"again, twice, second time"
税,zeiゼイ,,tax; duty
営,eiエイ,itona(mu)いとな(む),occupation; camp; perform; build; conduct (business)
比,hiヒ,kura(beru)くら(べる),compare; race; ratio
防,bouボウ,fuse(gu)ふせ(ぐ),ward off; defend; protect; resist
補,hoホ,ogina(u)おぎな(う),supplement; supply; offset; compensate
境,kyouキョウ,sakaiさかい,"boundary, border, region"
導,douドウ,michibi(ku)みちび(く),guidance; leading; conduct; usher
副,fukuフク,,vice-; assistant; aide; duplicate; copy
算,sanサン,soroそろ,calculate; divining; number; probability
輸,"yu, shuユ、 シュ",,"transport, send, be inferior"
述,jutsuジュツ,no(beru)の(べる),mention; state; speak
線,senセン,sujiすじ,line; track
農,nouノウ,,agriculture; farmers
州,shuuシュウ,suす,state; province
武,"bu, muブ、 ム",take(shi)たけ(し),warrior; military; chivalry; arms
象,"shou, zouショウ、 ゾウ",katado(ru)かたど(る),elephant; pattern after; image; shape
域,ikiイキ,,range; region; limits; stage; level
額,gakuガク,hitaiひたい,forehead; tablet; framed picture; sum; amount; volume
欧,ouオウ,"uta(u), ha(ku)うた(う)、 は(く)",Europe
担,tanタン,"katsu(gu), nina(u)かつ(ぐ)、 にな(う)",shouldering; carry; raise; bear
準,junジュン,"jun(jiru), nazora(eru)じゅん(じる)、 なぞら(える)",semi-; correspond to; imitate
賞,shouショウ,ho(meru)ほ(める),prize; reward; praise
辺,henヘン,"ata(ri), hoto(ri)あた(り)、 ほと(り)",environs; boundary; border; vicinity
造,zouゾウ,tsuku(ru)つく(る),create; make; structure; physique
被,hiヒ,"koumu(ru), kabu(ru)こうむ(る)、  かぶ(る)",incur; cover; shelter; wear; put on
技,giギ,wazaわざ,skill; art; craft; ability; vocation; arts
低,teiテイ,hiku(i)ひく(い),lower; short; humble
復,fukuフク,mataまた,"restore, return to, revert"
移,iイ,utsu(ru)うつ(る),"shift, move, change"
個,koコ,,individual; counter for articles
門,monモン,"kado, toかど、 と",gate
課,kaカ,,"chapter, lesson, section, department"
脳,nouノウ,nouzuruのうずる,brain; memory
極,"kyoku, gokuキョク、 ゴク",kiwa(meru)きわ(める),poles; settlement; conclusion; end
含,ganガン,fuku(mu)ふく(む),contain; include
蔵,zouゾウ,kuraくら,storehouse; hide; own; have; possess
量,ryouリョウ,haka(ru)はか(る),quantity; measure; weight; amount
型,keiケイ,kataかた,type; model
況,kyouキョウ,mashi(te)まし(て),condition; situation
針,shinシン,hariはり,needle; pin; staple; stinger
専,senセン,moppa(ra)もっぱ(ら),specialty; exclusive; mainly; solely
谷,kokuコク,"tani, kiwa(maru)たに、 きわ(まる)",valley
史,shiシ,,history; chronicle
階,kaiカイ,kizahashiきざはし,stair; counter for building story
管,kanカン,kudaくだ,pipe; tube; wind instrument; control; jurisdiction
兵,"hei, hyouヘイ、 ヒョウ",tsuwamonoつわもの,soldier; private; troops; army
接,setsuセツ,tsu(gu)つ(ぐ),touch; contact; adjoin; piece together
細,saiサイ,"hoso(i), koma(kai)ほそ(い)、 こま(かい)",slender; narrow; detailed; precise
効,kouコウ,ki(ku)き(く),merit; efficacy; efficiency; benefit
丸,ganガン,"maru, maru(i)まる、まる(い)",round; full (month); perfection
湾,wanワン,irieいりえ,gulf; bay; inlet
録,rokuロク,to(ru)と(る),record
省,"sei, shouセイ、 ショウ","kaeri(miru), habu(ku)かえり(みる)、 はぶ(く)",focus; government ministry; conserve
旧,kyuuキュウ,"furu(i), motoふる(い)、 もと",old times; old things; former; ex-
