Kanji,Onyomi,Kunyomi,Meaning
的,tekiテキ,,"mark, target, object, adjective ending"
要,youヨウ,"i(ru), kanameい(る)、 かなめ","need, main point, essence, pivot"
制,seiセイ,,"system, law, rule"
治,"ji, chiジ、チ","nasa(meru), nao(ru)おさ(める)、なお(る)","reign, cure, heal"
務,muム,tsuto(meru)つと(める),"task, duties"
成,"sei, jouセイ、 ジョウ",na(ru)な(る),"turn into, become, get, grow, elapse"
期,"ki, goキ、 ゴ",,"period, time, date, term"
取,shuシュ,to(ru)と(る),"take, fetch"
都,"to, tsuト、ツ",miyakoみやこ,"metropolis, capital"
和,"wa, oワ、オ","yawa(ragu), nago(mu)やわ(らぐ)、なご(む)","harmony, Japanese style, peace"
機,kiキ,hataはた,"machine, airplane, opportunity"
平,"hei, byouヘイ、ビョウ","tai(ra), hira たい(ら)、ひら","even, flat, peace"
加,kaカ,kuwa(eru)くわ(える),"add, addition, increase, join"
受,juジュ,u(keru)う(ける),"accept, undergo, answer (phone), take"
続,zokuゾク,tsuzukuつづ(く),"continue, series, sequel"
進,shinシン,susu(mu)すす(む),"advance, proceed"
数,suuスウ,"kazu, kazo(eru)かず、 かぞ(える)","number, strength, fate, law, figures"
記,kiキ,shiru(su)しる(す),"scribe, account, narrative"
初,shoショ,"haji(me), hatsuはじ(め)、はつ","first time, beginning"
指,shiシ,"yubi, sa(su)ゆび、さ(す)","finger, point to, indicate"
権,kenケン,,"authority, power, rights"
支,shiシ,sasa(eru)ささ(える),"branch, support, sustain"
産,sanサン,"u(mu), mu(su)う(む)、 む(す)","products, bear, give birth"
点,tenテン,tsu(keru)つ(ける),"spot, point, mark"
報,houホウ,mukku(iru)むく(いる),"report, news, reward"
済,"sai, seiサイ、セイ",su(mu)す(む),"settle, relieve, finish"
活,katsuカツ,,living
原,genゲン,haraはら,"original, primitive, field"
共,kyouキョウ,tomoとも,"together, both, neither"
得,tokuトク,e(ru)え(る),"gain, get, find, earn, acquire, can, may, able to, profit"
解,"kai, geカイ、ゲ","to(ku), hodo(ku)と(く)、ほど(く)","unravel, explanation"
交,kouコウ,"maji(waru), ma(zeru), ka(wasu)まじ(わる)、 ま(ぜる)、 か(わす)","mingle, mixing, association, coming & going"
資,shiシ,,"assets, resources, capital, funds, data, be conducive to"
予,"yo, shaヨ、 シャ",arakaji(me)あらかじ(め),"beforehand, previous, myself, I"
向,kouコウ,"mu(ku), muka(i)む(く)、むか(い)","facing, beyond"
際,saiサイ,kiwaきわ,"occasion, time"
勝,shouショウ,"ka(tsu), masa(ru)か(つ)、 まさ(る)","victory, win"
面,menメン,"omo, omote, tsuraおも、おもて、つら","mask, face, features, surface"
告,kokuコク,tsu(geru)つ(げる),"revelation, inform"
反,hanハン,so(ru)そ(る),anti-
判,hanハン,,"judgement, signature"
認,ninニン,"mito(meru), shitata(meru)みと(める)、したた(める)","acknowledge, witness, recognize"
参,sanサン,mai(ru)まい(る),"going, coming, participate"
利,riリ,ki(ku)き(く),"profit, advantage, benefit"
組,soソ,"ku(mu), kumiく(む)、くみ","association, assemble, unite"
信,shinシン,,"faith, truth, trust"
在,zaiザイ,a(ru)あ(る),"exist, outskirts"
件,kenケン,kudanくだん,"affair, case, matter"
側,sokuソク,"gawa, sobaがわ、そば","side, lean, oppose"
任,ninニン,maka(seru)まか(せる),"responsibility, duty"
引,inイン,hi(ku)ひ(く),"pull, tug, jerk"
求,kyuuキュウ,moto(meru)もと(める),"request, want, demand"
所,shoショ,tokoroところ,"place, extent"
次,"ji, shiジ、シ","tsu(gu), tsugiつ(ぐ)、つぎ","next, order"
昨,sakuサク,,"yesterday, previous"
論,ronロン,agetsura(u)あげつら(う),"argument, discourse"
官,kanカン,,"bureaucrat, the government, organ"
増,zouゾウ,"ma(su), fu(eru)ま(す)、 ふ(える)","increase, add"
係,keiケイ,"kaka(ru), kakariかか(る)、かかり","person in charge, connection"
感,kanカン,,"emotion, feeling, sensation"
情,"jou, seiジョウ、セイ",nasa(ke)なさ(け),"feelings, emotion, passion"
投,touトウ,na(geru)な(げる),"throw, discard"
示,"ji, shiジ、シ",shime(su)しめ(す),"show, indicate, display"
変,henヘン,ka(waru)か(わる),"unusual, change, strange"
打,daダ,"u(tsu), bu(tsu)う(つ)、ぶ(つ)","strike, hit, knock"
直,"choku, jikiチョク、 ジキ","tada(chini), su(gu)ただ(ちに)、 す(ぐ)","straightaway, honesty, frankness, fix, repair"
両,ryouリョウ,,both
式,shikiシキ,,"style, ceremony"
確,kakuカク,tashi(ka)たし(か),"assurance, firm, confirm"
果,kaカ,ha(tasu)は(たす),"fruit, reward, carry out, achieve, complete"
容,youヨウ,,"contain, form"
必,hitsuヒツ,kanara(zu)かなら(ず),"invariably, certain, inevitable"
演,enエン,,"performance, act, play, render, stage"
歳,"sai, seiサイ、セイ",,"age, year-end"
争,souソウ,araso(u)あらそ(う),"contend, dispute, argue"
談,danダン,,"discuss, talk"
能,nouノウ,ata(u)あた(う),"ability, talent, skill, capacity"
位,iイ,"kurai, guraiくらい、 ぐらい","rank, grade, about"
置,chiチ,o(ku)お(く),"placement, put, set, deposit, leave behind"
流,"ryuu, ruリュウ、ル",naga(reru)なが(れる),"current, flow"
格,"kaku, kou, kyakuカク、コウ、キャク",,"status, rank, capacity"
疑,giギ,utaga(u)うたが(う),"doubt, distrust"
過,kaカ,"su(giru), yogi(ru)す(ぎる)、よぎ(る)","overdo, exceed, go beyond"
局,kyokuキョク,,"bureau, board, office"
放,houホウ,"hana(su), hou(ru)はな(す)、ほう(る)","set free, release"
常,jouジョウ,tsuneつね,"usual, ordinary, normal"
状,jouジョウ,,"conditions, form, appearance"
球,kyuuキュウ,tamaたま,"ball, sphere"
職,shokuショク,,"post, employment, work"
与,yoヨ,"ata(eru), azuka(ru)あた(える)、 あずか(る)","give, award"
供,"kyou, ku, kuuキョウ、ク、クウ","sona(eru), tomoそな(える)、とも","submit, offer, present, accompany"
役,"yaku, ekiヤク、エキ",,"duty, service, role"
構,kouコウ,kama(u)かま(う),"posture, build, pretend"
割,katsuカツ,"wa(ru), wariわ(る)、わり","proportion, divide, cut, separate"
身,shinシン,miみ,"somebody, person"
費,hiヒ,tsui(yasu)つい(やす),"expense, consume"
付,fuフ,tsu(keru)つ(ける),"adhere, attach, refer to, append"
由,"yu, yuuユ、ユウ","yoshi, yo(ru)よし、よ(る)","wherefore, a reason"
説,"setsu, zeiセツ、 ゼイ",to(ku)と(く),"opinion, theory, explanation"
難,nanナン,"kata(i), muzuka(shii), niku(i)かた(い)、むずか(しい)、 にく(い)","difficult, trouble, accident"
優,"yuu, uユウ、ウ","yasa(shii), sugu(reru)やさ(しい)、すぐ(れる)","tenderness, kind, actor"
夫,"fu, fuuフ、フウ",ottoおっと,"husband, man"
収,shuuシュウ,osa(meru)おさ(める),"income, obtain, reap, pay, supply, store"
断,danダン,"ta(tsu), kotowa(ru)た(つ)、 ことわ(る)","severance, decline, refuse, apologize"
石,"seki, shaku, kokuセキ、シャク、コク",ishiいし,stone
違,iイ,"chiga(u), taga(u)ちが(う)、たが(う)","difference, differ"
消,shouショウ,"ki(eru), ke(su)き(える)、け(す)","extinguish, turn off"
神,"shin, jinシン、 ジン",kamiかみ,"gods, mind, soul"
番,banバン,tsugaiつが(い),"turn, number in a series"
規,kiキ,,"standard, measure"
術,jutsuジュツ,subeすべ,"art, technique, skill, means, trick"
備,biビ,sona(eru)そな(える),"equip, provision, preparation"
宅,takuタク,,"home, house, residence"
害,gaiガイ,,"harm, injury"
配,haiハイ,kuba(ru)くば(る),"distribute, spouse"
警,keiケイ,,"admonish, commandment"
育,ikuイク,"soda(tsu), haguku(mu)そだ(つ)、はぐく(む)","bring up, grow up, raise"
席,sekiセキ,mushiroむしろ,seat
訪,houホウ,"toozu(reru), tazu(neru)おとず(れる)、たず(ねる)","call on, visit"
乗,"jou, shouジョウ、 ショウ",no(ru)の(る),ride
残,zanザン,noko(ru)のこ(る),"remainder, balance"
想,"sou, soソウ、ソ",omo(u)おも(う),"concept, think, idea"
声,"sei, shouセイ、ショウ",koeこえ,voice
助,joジョ,tasu(keru)たす(ける),"help, rescue, assist"
労,rouロウ,"rou(suru), itawa(ru), negira(u)ろう(する)、いたわ(る)、ねぎら(う)","labor, thank for"
例,reiレイ,tato(eba)たと(えば),example
然,"zen, nenゼン、ネン","shika, saしか、さ","sort of thing, if so"
限,genゲン,kagi(ru)かぎ(る),"limit, restrict"
追,tsuiツイ,o(u)お(う),"chase, drive away"
商,shouショウ,akina(u)あきな(う),deal; selling; merchant
葉,youヨウ,haは,"leaf, plane, needle, blade, counter for flat things"
伝,denデン,tsuta(waru)つた(わる),"transmit, go along, walk along, follow, report, communicate, legend, tradition"
働,douドウ,hatara(ku)はたら(く),work
形,"kei, gyouケイ、ギョウ","kata, katachi, nariかた、かたち、なり","shape, form, style"
景,"kei, keケイ、ケ",,"scenery, view"
落,rakuラク,o(chiru)お(ちる),"fall, drop"
好,kouコウ,"kono(mu), su(ku)この(む)、 す(く)","fond, pleasing, like something"
退,taiタイ,"shirizo(ku), hi(ku), no(keru), do(ku)しりぞ(く)、 ひ(く)、 の(ける)、 ど(く)","retreat, withdraw, retire, resign, repel, expel, reject"
頭,"tou, zu, toトウ、ズ、ト","atama, kashiraあたま、かしら",head
負,fuフ,"ma(keru), o(u)ま(ける)、 お(う)","defeat, negative, minus, assume a responsibility"
渡,toト,wata(ru)わた(る),"transit, ferry, cross"
失,shitsuシツ,"ushina(u), u(seru)うしな(う)、 う(せる)","lose, error, fault, disadvantage, loss"
差,saサ,sa(su)さ(す),"distinction, difference, variation"
末,matsuマツ,sueすえ,"end, close, tip"
守,"shu, suシュ、ス","mamo(ru), moriまも(る)、もり","guard, protect, obey"
若,jakuジャク,"waka(i), mo(shi)わか(い)、も(し)",young
種,shuシュ,"tane, -gusaたね、-ぐさ","species, kind, class, seed"
美,"bi, miビ、 ミ",utsukushiiうつく(しい),"beauty, beautiful"
命,"mei, myouメイ、ミョウ",inochiいのち,"fate, command"
福,fukuフク,,"blessing, fortune, luck, wealth"
望,bouボウ,"nozo(mu), mochiのぞ(む)、 もち","ambition, full moon, hope, desire, aspire to, expect"
非,hiヒ,ara(zu)あら(ず),"un-, mistake, negative"
観,kanカン,mi(ru)み(る),"outlook, appearance, condition"
察,satsuサツ,,"guess, presume, judge"
段,danダン,,"grade, steps, stairs"
横,ouオウ,yokoよこ,"sideways, side"
深,shinシン,fuka(i)ふか(い),"deep, heighten"
申,shinシン,"mou(su), saruもう(す)、さる",have the honor to
様,youヨウ,"sama, sanさま、さん","manner, situation, polite suffix"
財,"zai, sai, zokuザイ、 サイ、 ゾク",,"property, money, wealth, assets"
港,kouコウ,minatoみなと,"harbor, port"
識,shikiシキ,shi(ru)し(る),know
呼,koコ,yo(bu)よ(ぶ),"call, invite"
達,"tatsu, daタツ、 ダ",#NAME?,"accomplished, reach, arrive, attain"
良,ryouリョウ,"yo(i), i(i)よ(い)、い(い)",good
阪,hanハン,sakaさか,"heights, slope"
候,kouコウ,sourouそうろう,"climate, season, weather"
程,teiテイ,hodoほど,"extent, degree"
満,manマン,mi(chiru)み(ちる),"full, fullness, enough, satisfy"
敗,haiハイ,yabu(reru)やぶ(れる),"failure, defeat"
値,chiチ,"ne, ataiね、 あたい","price, cost, value"
突,"totsu, kaトツ、カ",tsu(ku)つ(く),"stab, protruding, thrust"
光,kouコウ,"hika(ru), hikariひか(る)、ひかり","ray, light"
路,"ro, ruロ、ル",michiみち,"path, route, road"
科,kaカ,,"department, course, section"
積,sekiセキ,tsu(mu)つ(む),"volume, contents, pile up, stack"
他,taタ,hokaほか,"other, another"
処,shoショ,,"dispose, manage, deal with"
太,"tai, taタイ、タ",futo(i)ふと(い),"plump, thick, big around"
客,"kyaku, kakuキャク、カク",,"guest, visitor, customer"
否,hiヒ,"ina, iyaいな、いや","negate, no, decline"
師,shiシ,,"expert, teacher, master"
登,"tou, toトウ、ト","nobo(ru), a(garu)のぼ(る)、あ(がる)","ascend, climb up"
易,"eki, iエキ、 イ","yasa(shii), yasu(i)やさ(しい)、 やす(い)","easy, ready to, simple"
速,sokuソク,haya(i)はや(い),"quick, fast"
存,"son, zonソン、ゾン",,"exist, be aware of"
飛,hiヒ,to(bu)と(ぶ),fly
殺,"satsu, saiサツ、サイ",koro(su)ころ(す),"kill, murder"
号,gouゴウ,,"number, item"
単,tanタン,hitoeひとえ,"simple, single"
座,zaザ,suwa(ru)すわ(る),"squat, seat, sit"
破,haハ,yabu(ru)やぶ(る),"rip, tear, break"
除,"jo, jiジョ、ジ",nozo(ku)のぞ(く),"exclude, remove"
完,kanカン,,"perfect, completion"
降,"kou, goコウ、 ゴ","o(riru), fu(ru)お(りる)、 ふ(る)","descend, precipitate, fall, surrender"
責,sekiセキ,se(meru)せ(める),"blame, condemn"
捕,hoホ,"to(raeru), tsuka(maeru)と(らえる)、つか(まえる)","catch, capture"
危,kiキ,"abu(nai), aya(ui)あぶ(ない)、あや(うい)","dangerous, fear, uneasy"
給,kyuuキュウ,"tama(u), tamo(u)たま(う)、たも(う)","salary, wage, gift"
苦,kuク,"kuru(shii), niga(i)くる(しい)、にが(い)","suffering, bitter"
迎,geiゲイ,muka(eru)むか(える),"welcome, meet, greet"
園,enエン,sonoその,"park, garden, yard"
具,guグ,"sona(eru), tsubasa(ni)そな(える)、つぶさ(に)","tool, utensil"
辞,jiジ,ya(meru)や(める),"resign, word, term"
因,inイン,"yo(ru), china(mu)よ(る)、ちな(む)","cause, factor, depend on"
馬,baバ,umaうま,horse
愛,aiアイ,"ito(shii), manaいと(しい)、まな","love, affection"
富,"fu, fuuフ、フウ","to(mu), tomiと(む)、 とみ","wealth, enrich, abundant"
彼,hiヒ,"kare, kanoかれ、 かの","he, him"
未,"mi, biミ、ビ","ima(da), ma(da)いま(だ)、ま(だ)","un-, not yet"
舞,buブ,"ma(u), maiま(う)、まい","dance, circle"
亡,"bou, mouボウ、モウ",na(kunaru)な(くなる),"deceased, dying"
冷,reiレイ,"tsume(tai), hi(eru), sa(meru)つめ(たい)、ひ(える)、さ(める)","cool, cold, chill"
適,tekiテキ,kana(u)かな(う),"suitable, occasional, rare"
婦,fuフ,yomeよめ,"lady, woman, wife"
寄,kiキ,yo(ru)よ(る),"draw near, gather"
込,,ko(mu)こ(む),"crowded, mixture"
顔,ganガン,kaoかお,"face, expression"
類,ruiルイ,tagu(i)たぐ(い),"sort, kind, variety, class, genus"
余,yoヨ,ama(ru)あま(る),"too much, surplus"
王,ouオウ,,"king, rule"
返,henヘン,kae(su)かえ(す),"return, answer"
妻,saiサイ,tsumaつま,"wife, spouse"
背,haiハイ,"se, seiせ、せい","stature, height, back"
熱,netsuネツ,atsu(i)あつ(い),"heat, fever, passion"
宿,shukuシュク,yadoやど,"inn, lodging"
薬,yakuヤク,kusuriくすり,"medicine, chemical"
険,kenケン,kewa(shii)けわ(しい),"precipitous, inaccessible place"
頼,raiライ,"tano(mu), tayo(ru)たの(む)、 たよ(る)","trust, request"
覚,kakuカク,"obo(eru), sa(masu)おぼ(える)、 さ(ます)","memorize, learn, remember, awake"
船,senセン,"fune, funaふね、ふな","ship, boat"
途,toト,michiみち,"route, way, road"
許,kyoキョ,yuru(su)ゆる(す),"permit, approve"
抜,batsuバツ,nu(ku)ぬ(く),"slip out, extract, pull out, remove"
便,"ben, binベン、 ビン",tayo(ri)たよ(り),"convenience, facility"
留,"ryuu, ruリュウ、 ル","to(maru), todo(meru)と(まる)、 とど(める)","detain, fasten, halt, stop"
罪,zaiザイ,tsumiつみ,"guilt, sin, crime"
努,doド,tsuto(meru)つと(める),"toil, diligent, as much as possible"
精,"sei, shouセイ、ショウ",shira(geru)しら(げる),"refined, ghost, fairy, energy"
散,sanサン,"chi(ru), bara(keru)ち(る)、ばら(ける)","scatter, disperse"
静,"sei, jouセイ、ジョウ",shizu(ka)しず(か),quiet
婚,konコン,,marriage
喜,kiキ,yoroko(bu)よろこ(ぶ),"rejoice, take pleasure in"
浮,fuフ,u(kabu)う(かぶ),"float, rise to surface"
絶,zetsuゼツ,ta(eru)た(える),"discontinue, unparalleled"
幸,kouコウ,"saiwa(i), sara, shiawa(se)さいわ(い)、さち、 しあわ(せ)","happiness, blessing, fortune"
押,ouオウ,o(su)お(す),push
倒,touトウ,tao(reru)たお(れる),"overthrow, fall, collapse"
等,touトウ,"hito(shii), nadoひと(しい)、など","etc., and so forth"
老,rouロウ,"o(iru), fu(keru)お(いる)、ふ(ける)",old
曲,kyokuキョク,ma(garu)ま(がる),"bend, music, melody"
払,,hara(u)はら(う),pay
庭,teiテイ,niwaにわ,"courtyard, garden, yard"
徒,toト,"itazura, adaいたずら、 あだ","on foot, junior, vanity, futility, uselessness"
勤,"kin, gonキン、ゴン",tsuto(meru)つと(める),"diligence, employed, serve"
遅,chiチ,"oku(reru), oso(i)おく(れる)、 おそ(い)","slow, late, back, later"
居,"kyo, koキョ、コ","i(ru), o(ru)い(る)、お(る)","reside, to be, exist"
雑,"zatsu, zouザツ、ゾウ",maji(ru)まじ(る),miscellaneous
招,shouショウ,mane(ku)まね(く),"invite, summon, engage"
困,konコン,koma(ru)こま(る),"quandary, become distressed"
欠,"ketsu, kenケツ、ケン",ka(keru)か(ける),"lack, gap"
更,kouコウ,"sara(ni), fu(keru)さら(に)、ふ(ける)","renew, renovate, again"
刻,kokuコク,kiza(mu)きざ(む),"engrave, cut fine, chop"
賛,sanサン,,"approve, praise"
抱,houホウ,"da(ku), ida(ku), kaka(eru)だ(く)、いだ(く)、かか(える)","embrace, hug"
犯,hanハン,oka(su)おか(す),"crime, sin, offense"
恐,kyouキョウ,"oso(reru), kowa(i)おそ(れる)、こわ(い)","fear, dread"
息,"musu, sokuムス、ソク",ikiいき,"breath, son, interest (on money)"
遠,"en, onエン",too(i)とお(い),"distant, far"
戻,reiレイ,modo(ru)もど(る),"re-, return, revert"
願,ganガン,nega(u)ねが(う),"petition, request, wish"
絵,"kai, eカイ、エ",,"picture, drawing"
越,etsuエツ,ko(su)こ(す),"surpass, cross over, move to, exceed"
欲,yokuヨク,ho(shii)ほ(しい),"longing, greed, passion"
痛,tsuuツウ,ita(i)いた(い),"pain, hurt, damage, bruise"
笑,shouショウ,"wara(u), e(mu)わら(う)、え(む)",laugh
互,goゴ,"taga(i), katami(ni)たが(い)、かたみ(に)","mutually, reciprocally, together"
束,sokuソク,"taba, tsukaたば、つか","bundle, manage"
似,"ji, neジ、ね",ni(ru)に(る),"becoming, resemble, imitate"
列,"retsu, reレツ、レ",,"file, row, column"
探,tanタン,"sagu(ru), saga(su)さぐ(る)、さが(す)","search, look for"
逃,touトウ,"ni(geru), noga(su)に(げる)、のが(す)","escape, flee"
遊,yuuユウ,aso(bu)あそ(ぶ),play
迷,meiメイ,mayo(u)まよ(う),"astray, be perplexed, in doubt, lost"
夢,muム,yumeゆめ,"dream, vision"
君,kunクン,kimiきみ,"you, male name suffix"
閉,heiヘイ,"to(jiru), shi(meru)と(じる)、し(める)","closed, shut"
緒,shoショ,oお,"beginning, end, cord, strap"
折,"setsu, shakuセツ、シャク","o(ru), oriお(る)、おり","fold, break, fracture"
草,souソウ,kusaくさ,"grass, weeds, herbs"
暮,boボ,ku(rasu)く(らす),"evening, livelihood"
酒,shuシュ,"sake, saka-さけ、さか-","sake, alcohol"
悲,hiヒ,kana(shii)かな(しい),"grieve, sad"
晴,seiセイ,ha(reru)は(れる),clear up
掛,keiケイ,ka(keru)か(ける),"hang, suspend"
到,touトウ,ita(ru)いた(る),"arrival, proceed, reach"
寝,shinシン,ne(ru)ね(る),"lie down, sleep, rest"
暗,anアン,kura(i)くら(い),"darkness, disappear, shade, informal"
盗,touトウ,nusu(mu)ぬす(む),"steal, rob"
吸,kyuuキュウ,su(u)す(う),"suck, inhale"
陽,youヨウ,hiひ,"sunshine, positive"
御,"gyo, goギョ、ゴ","on, oおん、お",honorable
歯,shiシ,haは,"tooth, cog"
忘,bouボウ,wasu(reru)わす(れる),forget
雪,setsuセツ,yukiゆき,snow
吹,suiスイ,fu(ku)ふ(く),"blow, breathe, puff"
娘,jouジョウ,"musume, koむすめ、こ","daughter, girl"
誤,goゴ,ayama(ru)あやま(る),mistake
洗,senセン,ara(u)あら(う),wash
慣,kanカン,na(reru)な(れる),"accustomed, get used to"
礼,"rei, raiレイ、ライ",,"salute, bow, ceremony, thanks"
窓,souソウ,madoまど,"window, pane"
昔,"seki, shakuセキ、シャク",mukashiむかし,"once upon a time, old times"
貧,"hin, binヒン、ビン",mazu(shii)まず(しい),"poverty, poor"
怒,doド,"ika(ru), oko(ru)いか(る)、 おこ(る)","angry, be offended"
泳,eiエイ,oyo(gu)およ(ぐ),swim
祖,soソ,,"ancestor, pioneer, founder"
杯,haiハイ,sakazukiさかずき,"glass, cup"
疲,hiヒ,tsuka(reru)つか(れる),"exhausted, tire"
皆,kaiカイ,"mina, minnaみな、 みんな","all, everyone, everybody"
鳴,meiメイ,"na(ku), na(ru)な(く)、な(る)","chirp, cry, bark"
腹,fukuフク,haraはら,"abdomen, belly, stomach"
煙,enエン,"kemu(ru), kemuriけむ(る)、けむり",smoke
眠,minミン,nemu(ru)ねむ(る),sleep
怖,fuフ,"kowa(i), o(jiru)こわ(い)、お(じる)","dreadful, fearful"
耳,jiジ,mimiみみ,ear
頂,chouチョウ,itada(ku)いただ(く),"receive, top, summit, peak"
箱,souソウ,hakoはこ,"box, chest"
晩,banバン,,"nightfall, night"
寒,kanカン,samu(i)さむ(い),cold
髪,hatsuハツ,kamiかみ,hair (on the head)
忙,"bou, mouボウ、モウ",isoga(shii)いそが(しい),"busy, occupied"
才,saiサイ,,"genius, years old"
靴,kaカ,kutsuくつ,shoes
恥,chiチ,"haji, ha(zukashii)はじ、は(ずかしい)","shame, dishonor"
偶,guuグウ,tamaたま,"accidentally, even number"
偉,iイ,era(i)えら(い),"admirable, greatness"
猫,byouビョウ,nekoねこ,cat
幾,kiキ,iku(tsu)いく(つ),"how many, how much, some"
誰,suiスイ,dareだれ,"who, someone, somebody"
